id,name,type,layer,source,size,domain,license,link,paper,notes
AZ-MODEL-002,mBERT,model,3,HuggingFace / google,110M params,encoder,Apache-2.0,https://huggingface.co/google-bert/bert-base-multilingual-cased,P3,Multilingual BERT with Az support
AZ-MODEL-003,XLM-R-AZ,model,3,HuggingFace / facebook,270M params,encoder,MIT,https://huggingface.co/facebook/xlm-roberta-base,P3,XLM-RoBERTa with Az support
AZ-MODEL-004,NLLB-AZ,model,3,HuggingFace / facebook,1.3B params,translation,CC-BY-NC,https://huggingface.co/facebook/nllb-200-distilled-600M,P3,NLLB translation model with Az
AZ-MODEL-005,mT5-AZ,model,3,HuggingFace / google,300M params,seq2seq,Apache-2.0,https://huggingface.co/google/mt5-base,P3,Multilingual T5 with Az support
AZ-MODEL-006,Qwen2-AZ,model,3,HuggingFace / Qwen,7B params,decoder,Apache-2.0,https://huggingface.co/Qwen/Qwen2-7B,P3,Qwen2 with Azerbaijani capability
AZ-MODEL-007,Llama3-AZ,model,3,HuggingFace / meta-llama,8B params,decoder,Llama-3,https://huggingface.co/meta-llama/Meta-Llama-3-8B,P3,Llama 3 with Azerbaijani
AZ-MODEL-008,GPT-AZ,model,3,HuggingFace / allmalab,1.5B params,decoder,CC-BY-NC,https://huggingface.co/allmalab/GPT-AZ,P3,Azerbaijani GPT model
AZ-MODEL-009,AzerBERT,model,3,HuggingFace / azlang,110M params,encoder,MIT,https://huggingface.co/azlang/AzerBERT,P3,AzerBERT language model
AZ-MODEL-010,TURNA-AZ,model,3,HuggingFace / boun-tabi,400M params,encoder-decoder,Apache-2.0,https://huggingface.co/boun-tabi/TURNA,P3,Turkish-Azerbaijani transfer model
AZ-TOOL-001,awesome-azerbaijani-nlp,tool,5,GitHub / alexeyev,resource list,curation,CC0,https://github.com/alexeyev/awesome-azerbaijani-nlp,P1,Curated list of Az NLP resources
AZ-TOOL-002,AzMorph,tool,5,GitHub / aznlp,morphological analyzer,NLP tool,MIT,https://github.com/aznlp/azmorph,P1,Azerbaijani morphological analyzer
AZ-TOOL-003,AzSpell,tool,5,GitHub / aznlp,spell checker,NLP tool,MIT,https://github.com/aznlp/azspell,P1,Azerbaijani spell checker
