token	score	savings	qwen_tokens
tərəfimizdən	-13.27280330657959	9	t ÉĻ r ÉĻ f im iz d ÉĻ n
xəritələşdirmə	-13.219632148742676	9	x ÉĻ rit ÉĻ l ÉĻ ÅŁ d irm ÉĻ
müstəmləkəçiliy	-13.202696800231934	9	mÃ¼ st ÉĻ ml ÉĻ k ÉĻ Ã§ ili y
şərəfləndirmək	-13.20259952545166	9	ÅŁ ÉĻ r ÉĻ fl ÉĻ nd irm ÉĻ k
cəmiyyətlərində	-13.19635009765625	9	c ÉĻ mi yy ÉĻ tl ÉĻ r ind ÉĻ
rəhbərliyinizlə	-13.192961692810059	9	r ÉĻ hb ÉĻ r li y iniz l ÉĻ
təəccübləndirib	-13.173256874084473	9	t ÉĻ ÉĻ cc Ã¼ bl ÉĻ nd ir ib
xərcləyərək	-13.154288291931152	9	x ÉĻ r cl ÉĻ y ÉĻ r ÉĻ k
əhəmiyyətindən	-13.15279769897461	9	ÉĻ h ÉĻ mi yy ÉĻ t ind ÉĻ n
Zərərçəkən	-13.152592658996582	9	Z ÉĻ r ÉĻ r Ã§ ÉĻ k ÉĻ n
çəkilişlərində	-13.150406837463379	9	Ã§ ÉĻ k ili ÅŁ l ÉĻ r ind ÉĻ
Maliyyələşdirmə	-13.14871883392334	9	M ali yy ÉĻ l ÉĻ ÅŁ d irm ÉĻ
dəyişdirilmədən	-13.134641647338867	9	d ÉĻ yi ÅŁ dir ilm ÉĻ d ÉĻ n
hövzələrində	-13.107101440429688	9	h Ã¶ v z ÉĻ l ÉĻ r ind ÉĻ
şaxələndirilməsi	-13.1035737991333	9	ÅŁ ax ÉĻ l ÉĻ nd ir ilm ÉĻ si
çimərliklərində	-13.074535369873047	9	Ã§ im ÉĻ r lik l ÉĻ r ind ÉĻ
tövsiyələrinə	-13.055188179016113	9	t Ã¶ v si y ÉĻ l ÉĻ rin ÉĻ
təbəqələrinin	-13.044954299926758	9	t ÉĻ b ÉĻ q ÉĻ l ÉĻ rin in
tərifləyərək	-13.019062042236328	9	t ÉĻ rif l ÉĻ y ÉĻ r ÉĻ k
rəqiblərindən	-13.01838207244873	9	r ÉĻ q ib l ÉĻ r ind ÉĻ n
qiymətləndirməyə	-13.015568733215332	9	qi ym ÉĻ tl ÉĻ nd irm ÉĻ y ÉĻ
məqsədlərindən	-13.00296688079834	9	m ÉĻ qs ÉĻ dl ÉĻ r ind ÉĻ n
yerləşdiriləcək	-12.992286682128906	9	yer l ÉĻ ÅŁ dir il ÉĻ c ÉĻ k
qəsəbəsindəki	-12.959481239318848	9	q ÉĻ s ÉĻ b ÉĻ s ind ÉĻ ki
bələdiyyəsində	-12.9424467086792	9	b ÉĻ l ÉĻ di yy ÉĻ s ind ÉĻ
sənədləşdirmə	-12.917250633239746	9	s ÉĻ n ÉĻ dl ÉĻ ÅŁ d irm ÉĻ
Xoşbəxtlikdən	-12.914674758911133	9	X o ÅŁ b ÉĻ xt lik d ÉĻ n
tənzimlənməsinə	-12.911355972290039	9	t ÉĻ nz im l ÉĻ nm ÉĻ sin ÉĻ
münasibətlərində	-12.905725479125977	9	m Ã¼n as ib ÉĻ tl ÉĻ r ind ÉĻ
sərnişinlərə	-12.904955863952637	9	s ÉĻ r ni ÅŁ in l ÉĻ r ÉĻ
təmizləməyə	-12.89468765258789	9	t ÉĻ m iz l ÉĻ m ÉĻ y ÉĻ
möhkəmlənməsinə	-12.887426376342773	9	m Ã¶h k ÉĻ ml ÉĻ nm ÉĻ sin ÉĻ
sərhədlərindən	-12.872907638549805	9	s ÉĻ rh ÉĻ dl ÉĻ r ind ÉĻ n
dərəcələrinə	-12.862239837646484	9	d ÉĻ r ÉĻ c ÉĻ l ÉĻ rin ÉĻ
tövsiyələrini	-12.847030639648438	9	t Ã¶ v si y ÉĻ l ÉĻ r ini
zədələnməsinə	-12.830756187438965	9	z ÉĻ d ÉĻ l ÉĻ nm ÉĻ sin ÉĻ
əlaqələndirən	-12.806997299194336	9	ÉĻ la q ÉĻ l ÉĻ nd ir ÉĻ n
mülkiyyətçiləri	-12.80482292175293	9	m Ã¼l ki yy ÉĻ t Ã§ il ÉĻ ri
genişləndirərək	-12.786274909973145	9	gen iÅŁ l ÉĻ nd ir ÉĻ r ÉĻ k
ultrabənövşəyi	-12.744245529174805	9	ul tr ab ÉĻ n Ã¶ v ÅŁ ÉĻ yi
müvəffəqiyyətli	-12.743114471435547	9	mÃ¼ v ÉĻ ff ÉĻ qi yy ÉĻ t li
dərəcələrini	-12.731014251708984	9	d ÉĻ r ÉĻ c ÉĻ l ÉĻ r ini
dəstəklədilər	-12.726065635681152	9	d ÉĻ st ÉĻ kl ÉĻ d il ÉĻ r
zərərvericilər	-12.708389282226562	9	z ÉĻ r ÉĻ r ver ic il ÉĻ r
əlaqələndirilə	-12.695670127868652	9	ÉĻ la q ÉĻ l ÉĻ nd ir il ÉĻ
məhkəmələrdə	-12.663152694702148	9	m ÉĻ hk ÉĻ m ÉĻ l ÉĻ rd ÉĻ
nəzərəçarpacaq	-12.659191131591797	9	n ÉĻ z ÉĻ r ÉĻ Ã§ arp aca q
dəyişdirilərək	-12.653542518615723	9	d ÉĻ yi ÅŁ dir il ÉĻ r ÉĻ k
dərəcələrinin	-12.635382652282715	9	d ÉĻ r ÉĻ c ÉĻ l ÉĻ rin in
təkmilləşdirmək	-12.625480651855469	9	t ÉĻ km ill ÉĻ ÅŁ d irm ÉĻ k
məntəqəsindən	-12.615508079528809	9	m ÉĻ nt ÉĻ q ÉĻ s ind ÉĻ n
məşğələlər	-12.587930679321289	9	m ÉĻ ÅŁ ÄŁ ÉĻ l ÉĻ l ÉĻ r
qələbəsindən	-12.569070816040039	9	q ÉĻ l ÉĻ b ÉĻ s ind ÉĻ n
müəyyənləşdirən	-12.553765296936035	9	mÃ¼ ÉĻ yy ÉĻ nl ÉĻ ÅŁ dir ÉĻ n
nəzəriyyəsində	-12.542908668518066	9	n ÉĻ z ÉĻ ri yy ÉĻ s ind ÉĻ
tələbələrinə	-12.538928985595703	9	t ÉĻ l ÉĻ b ÉĻ l ÉĻ rin ÉĻ
təəccübləndirdi	-12.538475036621094	9	t ÉĻ ÉĻ cc Ã¼ bl ÉĻ nd ird i
Bələdiyyələrin	-12.523117065429688	9	B ÉĻ l ÉĻ di yy ÉĻ l ÉĻ rin
düşərgələrində	-12.51336669921875	9	d Ã¼ÅŁ ÉĻ rg ÉĻ l ÉĻ r ind ÉĻ
məhkəmələrinin	-12.50667667388916	9	m ÉĻ hk ÉĻ m ÉĻ l ÉĻ rin in
məntəqələrini	-12.506453514099121	9	m ÉĻ nt ÉĻ q ÉĻ l ÉĻ r ini
mərhələlərdə	-12.47635555267334	9	m ÉĻ rh ÉĻ l ÉĻ l ÉĻ rd ÉĻ
mərhələsindən	-12.459724426269531	9	m ÉĻ rh ÉĻ l ÉĻ s ind ÉĻ n
ləşdirilməsindən	-12.445924758911133	9	l ÉĻ ÅŁ dir ilm ÉĻ s ind ÉĻ n
məsələlərinin	-12.424727439880371	9	m ÉĻ s ÉĻ l ÉĻ l ÉĻ rin in
səmərəliliyini	-12.397653579711914	9	s ÉĻ m ÉĻ r ÉĻ l ili y ini
maliyyələşdirdi	-12.387223243713379	9	m ali yy ÉĻ l ÉĻ ÅŁ d ird i
məğlubiyyətdən	-12.385218620300293	9	m ÉĻ ÄŁ l ubi yy ÉĻ td ÉĻ n
bərabərləşdirdi	-12.384516716003418	9	b ÉĻ rab ÉĻ rl ÉĻ ÅŁ d ird i
məntəqələrinə	-12.382014274597168	9	m ÉĻ nt ÉĻ q ÉĻ l ÉĻ rin ÉĻ
nəticələrindən	-12.376035690307617	9	n ÉĻ tic ÉĻ l ÉĻ r ind ÉĻ n
irəliləyişlər	-12.368508338928223	9	ir ÉĻ l il ÉĻ yi ÅŁ l ÉĻ r
hüceyrələrində	-12.341967582702637	9	h Ã¼ ce yr ÉĻ l ÉĻ r ind ÉĻ
gözlənilmədən	-12.327625274658203	9	g Ã¶ zl ÉĻ nil m ÉĻ d ÉĻ n
möhkəmləndirmək	-12.322802543640137	9	m Ã¶h k ÉĻ ml ÉĻ nd irm ÉĻ k
səviyyələrində	-12.27413558959961	9	s ÉĻ vi yy ÉĻ l ÉĻ r ind ÉĻ
səhifələrində	-12.269813537597656	9	s ÉĻ h if ÉĻ l ÉĻ r ind ÉĻ
nəzəriyyələri	-12.26600456237793	9	n ÉĻ z ÉĻ ri yy ÉĻ l ÉĻ ri
təhlükəsizliyə	-12.242693901062012	9	t ÉĻ hl Ã¼k ÉĻ s iz li y ÉĻ
səlahiyyətlərinə	-12.238279342651367	9	s ÉĻ lah i yy ÉĻ tl ÉĻ rin ÉĻ
səmərəliliyinin	-12.236905097961426	9	s ÉĻ m ÉĻ r ÉĻ l ili y inin
dəyişikliklərlə	-12.231772422790527	9	d ÉĻ yi ÅŁ ik lik l ÉĻ rl ÉĻ
Təqsirləndirilən	-12.190088272094727	9	T ÉĻ qs irl ÉĻ nd ir il ÉĻ n
hərəkətlərə	-12.18678092956543	9	h ÉĻ r ÉĻ k ÉĻ tl ÉĻ r ÉĻ
mədəniyyətində	-12.175389289855957	9	m ÉĻ d ÉĻ ni yy ÉĻ t ind ÉĻ
tələbələrinin	-12.17138385772705	9	t ÉĻ l ÉĻ b ÉĻ l ÉĻ rin in
qiymətləndirilən	-12.165801048278809	9	qi ym ÉĻ tl ÉĻ nd ir il ÉĻ n
bələdiyyələrin	-12.1644926071167	9	b ÉĻ l ÉĻ di yy ÉĻ l ÉĻ rin
nəzəriyyələr	-12.160789489746094	9	n ÉĻ z ÉĻ ri yy ÉĻ l ÉĻ r
şəbəkələrinin	-12.144767761230469	9	ÅŁ ÉĻ b ÉĻ k ÉĻ l ÉĻ rin in
əlaqələndirmək	-12.129622459411621	9	ÉĻ la q ÉĻ l ÉĻ nd irm ÉĻ k
birləşmələrinin	-12.127683639526367	9	b irl ÉĻ ÅŁ m ÉĻ l ÉĻ rin in
xəstəliklərdən	-12.127290725708008	9	x ÉĻ st ÉĻ lik l ÉĻ rd ÉĻ n
şəhərlərindən	-12.12630844116211	9	ÅŁ ÉĻ h ÉĻ rl ÉĻ r ind ÉĻ n
zərərçəkən	-12.117801666259766	9	z ÉĻ r ÉĻ r Ã§ ÉĻ k ÉĻ n
bələdiyyələr	-12.090465545654297	9	b ÉĻ l ÉĻ di yy ÉĻ l ÉĻ r
mənbələrindən	-12.08488655090332	9	m ÉĻ nb ÉĻ l ÉĻ r ind ÉĻ n
müəyyənləşdirmə	-12.060709953308105	9	mÃ¼ ÉĻ yy ÉĻ nl ÉĻ ÅŁ d irm ÉĻ
xidmətlərindən	-12.058062553405762	9	x id m ÉĻ tl ÉĻ r ind ÉĻ n
vətənpərvərlik	-12.039654731750488	9	v ÉĻ t ÉĻ np ÉĻ rv ÉĻ r lik
mərkəzlərindən	-12.015074729919434	9	m ÉĻ rk ÉĻ zl ÉĻ r ind ÉĻ n
hərəkətlərinin	-11.954848289489746	9	h ÉĻ r ÉĻ k ÉĻ tl ÉĻ rin in
hərəkətlərinə	-11.906209945678711	9	h ÉĻ r ÉĻ k ÉĻ tl ÉĻ rin ÉĻ
səbəblərindən	-11.882566452026367	9	s ÉĻ b ÉĻ bl ÉĻ r ind ÉĻ n
dəstəkləməyə	-11.863993644714355	9	d ÉĻ st ÉĻ kl ÉĻ m ÉĻ y ÉĻ
məsələlərini	-11.803755760192871	9	m ÉĻ s ÉĻ l ÉĻ l ÉĻ r ini
məsələlərinə	-11.798858642578125	9	m ÉĻ s ÉĻ l ÉĻ l ÉĻ rin ÉĻ
müəyyənləşdirdi	-11.789419174194336	9	mÃ¼ ÉĻ yy ÉĻ nl ÉĻ ÅŁ d ird i
məsələlərlə	-11.758723258972168	9	m ÉĻ s ÉĻ l ÉĻ l ÉĻ rl ÉĻ
birləşməsindən	-11.752756118774414	9	b irl ÉĻ ÅŁ m ÉĻ s ind ÉĻ n
müvəffəqiyyətlə	-11.653593063354492	9	mÃ¼ v ÉĻ ff ÉĻ qi yy ÉĻ tl ÉĻ
məntəqələrinin	-11.618775367736816	9	m ÉĻ nt ÉĻ q ÉĻ l ÉĻ rin in
vəzifələrində	-11.598213195800781	9	v ÉĻ z if ÉĻ l ÉĻ r ind ÉĻ
məsələlərdə	-11.553994178771973	9	m ÉĻ s ÉĻ l ÉĻ l ÉĻ rd ÉĻ
hərəkətlərini	-11.501769065856934	9	h ÉĻ r ÉĻ k ÉĻ tl ÉĻ r ini
təhlükəsizliyini	-11.494744300842285	9	t ÉĻ hl Ã¼k ÉĻ s iz li y ini
tələbələrə	-11.419672012329102	9	t ÉĻ l ÉĻ b ÉĻ l ÉĻ r ÉĻ
məğlubiyyətində	-11.375509262084961	9	m ÉĻ ÄŁ l ubi yy ÉĻ t ind ÉĻ
dəyişikliklərə	-11.366705894470215	9	d ÉĻ yi ÅŁ ik lik l ÉĻ r ÉĻ
məsələlərə	-11.306159973144531	9	m ÉĻ s ÉĻ l ÉĻ l ÉĻ r ÉĻ
səlahiyyətlərini	-11.231203079223633	9	s ÉĻ lah i yy ÉĻ tl ÉĻ r ini
maliyyələşdirmə	-11.059065818786621	9	m ali yy ÉĻ l ÉĻ ÅŁ d irm ÉĻ
təhlükəsizliyin	-11.003378868103027	9	t ÉĻ hl Ã¼k ÉĻ s iz li y in
əlaqələndirilir	-10.684931755065918	9	ÉĻ la q ÉĻ l ÉĻ nd ir il ir
şəbəkələrdə	-10.674659729003906	9	ÅŁ ÉĻ b ÉĻ k ÉĻ l ÉĻ rd ÉĻ
təqsirləndirilən	-10.62850570678711	9	t ÉĻ qs irl ÉĻ nd ir il ÉĻ n
müəssisələrində	-10.527824401855469	9	mÃ¼ ÉĻ ss is ÉĻ l ÉĻ r ind ÉĻ
qalxanabənzər	-13.52067756652832	8	q al x an ab ÉĻ nz ÉĻ r
əmələgəlmə	-13.50836181640625	8	ÉĻ m ÉĻ l ÉĻ g ÉĻ lm ÉĻ
dəstəkləməyi	-13.494939804077148	8	d ÉĻ st ÉĻ kl ÉĻ m ÉĻ yi
Heykəltəraşlıq	-13.491934776306152	8	Hey k ÉĻ lt ÉĻ ra ÅŁ lÄ± q
qabiliyyətlərinə	-13.4774169921875	8	q ab ili yy ÉĻ tl ÉĻ rin ÉĻ
müstəqilliyindən	-13.474664688110352	8	mÃ¼ st ÉĻ q ill iy ind ÉĻ n
özünüməşğulluq	-13.474085807800293	8	Ã¶z Ã¼n Ã¼m ÉĻ ÅŁ ÄŁ ull u q
kəskinləşməsi	-13.461139678955078	8	k ÉĻ skin l ÉĻ ÅŁ m ÉĻ si
cədvəllərində	-13.437101364135742	8	c ÉĻ dv ÉĻ ll ÉĻ r ind ÉĻ
səlahiyyətində	-13.432638168334961	8	s ÉĻ lah i yy ÉĻ t ind ÉĻ
Mütəxəssislər	-13.428178787231445	8	M Ã¼t ÉĻ x ÉĻ ss isl ÉĻ r
göstərişlərini	-13.404766082763672	8	g Ã¶st ÉĻ ri ÅŁ l ÉĻ r ini
əməkdaşlığımızın	-13.404302597045898	8	ÉĻ m ÉĻ k da ÅŁ lÄ±ÄŁ Ä±mÄ±z Ä±n
öyrənilməsində	-13.388065338134766	8	Ã¶ yr ÉĻ nil m ÉĻ s ind ÉĻ
Təmizlənməsi	-13.381436347961426	8	T ÉĻ m iz l ÉĻ nm ÉĻ si
təkmilləşdirdi	-13.37306022644043	8	t ÉĻ km ill ÉĻ ÅŁ d ird i
fərqləndiyinə	-13.369316101074219	8	f ÉĻ r ql ÉĻ nd iy in ÉĻ
gizlənərək	-13.367319107055664	8	g iz l ÉĻ n ÉĻ r ÉĻ k
göndərildikdə	-13.349202156066895	8	g Ã¶ nd ÉĻ r ild ik d ÉĻ
atəşfəşanlıq	-13.344218254089355	8	at ÉĻ ÅŁ f ÉĻ ÅŁ an lÄ± q
zədələndiyi	-13.341364860534668	8	z ÉĻ d ÉĻ l ÉĻ nd iy i
zəifləməsinə	-13.340048789978027	8	z ÉĻ if l ÉĻ m ÉĻ sin ÉĻ
dəyişdirəcək	-13.339702606201172	8	d ÉĻ yi ÅŁ dir ÉĻ c ÉĻ k
gücləndirəcək	-13.333209037780762	8	gÃ¼ cl ÉĻ nd ir ÉĻ c ÉĻ k
şəhadətləndiril	-13.328941345214844	8	ÅŁ ÉĻ had ÉĻ tl ÉĻ nd ir il
mədənlərində	-13.328923225402832	8	m ÉĻ d ÉĻ nl ÉĻ r ind ÉĻ
gətirilərək	-13.319818496704102	8	g ÉĻ t ir il ÉĻ r ÉĻ k
başgicəllənmə	-13.317925453186035	8	ba ÅŁ g ic ÉĻ ll ÉĻ nm ÉĻ
təməlqoyma	-13.312379837036133	8	t ÉĻ m ÉĻ l q o ym a
xəritələrində	-13.309826850891113	8	x ÉĻ rit ÉĻ l ÉĻ r ind ÉĻ
xəstələnən	-13.302135467529297	8	x ÉĻ st ÉĻ l ÉĻ n ÉĻ n
dəyərləndirib	-13.296048164367676	8	d ÉĻ y ÉĻ rl ÉĻ nd ir ib
kəmərlərində	-13.281962394714355	8	k ÉĻ m ÉĻ rl ÉĻ r ind ÉĻ
dərinliklərində	-13.274835586547852	8	d ÉĻ rin lik l ÉĻ r ind ÉĻ
dərinləşməsi	-13.270537376403809	8	d ÉĻ rin l ÉĻ ÅŁ m ÉĻ si
Dərələyəz	-13.269091606140137	8	D ÉĻ r ÉĻ l ÉĻ y ÉĻ z
Məmmədəliyev	-13.260398864746094	8	M ÉĻ mm ÉĻ d ÉĻ li y ev
əlaqələndirici	-13.25680923461914	8	ÉĻ la q ÉĻ l ÉĻ nd ir ici
həmvətənləri	-13.253002166748047	8	h ÉĻ mv ÉĻ t ÉĻ nl ÉĻ ri
Müəssisələr	-13.249137878417969	8	M Ã¼ ÉĻ ss is ÉĻ l ÉĻ r
göstərişlərinə	-13.24787425994873	8	g Ã¶st ÉĻ ri ÅŁ l ÉĻ rin ÉĻ
Məsləhətçisi	-13.246872901916504	8	M ÉĻ sl ÉĻ h ÉĻ t Ã§ isi
dəyərləndirə	-13.237476348876953	8	d ÉĻ y ÉĻ rl ÉĻ nd ir ÉĻ
bərabərhüquqlu	-13.236160278320312	8	b ÉĻ rab ÉĻ rh Ã¼ qu ql u
səciyyələndir	-13.228290557861328	8	s ÉĻ ci yy ÉĻ l ÉĻ nd ir
tənzimləyicisi	-13.226563453674316	8	t ÉĻ nz im l ÉĻ y ic isi
təsdiqlənməmiş	-13.219778060913086	8	t ÉĻ s di ql ÉĻ nm ÉĻ miÅŁ
valideynlərindən	-13.21777057647705	8	val ide yn l ÉĻ r ind ÉĻ n
etmədiklərini	-13.217238426208496	8	et m ÉĻ d ik l ÉĻ r ini
sabitləşdirmək	-13.215974807739258	8	s abit l ÉĻ ÅŁ d irm ÉĻ k
Müdafiəçilər	-13.211630821228027	8	M Ã¼ d afi ÉĻ Ã§ il ÉĻ r
səviyyələrinə	-13.208830833435059	8	s ÉĻ vi yy ÉĻ l ÉĻ rin ÉĻ
irəliləməsinə	-13.194039344787598	8	ir ÉĻ l il ÉĻ m ÉĻ sin ÉĻ
düşərgələrinə	-13.175416946411133	8	d Ã¼ÅŁ ÉĻ rg ÉĻ l ÉĻ rin ÉĻ
sənədləşmə	-13.149127006530762	8	s ÉĻ n ÉĻ dl ÉĻ ÅŁ m ÉĻ
tərəfdaşlarla	-13.148969650268555	8	t ÉĻ r ÉĻ f da ÅŁ lar la
göndərəcək	-13.144762992858887	8	g Ã¶ nd ÉĻ r ÉĻ c ÉĻ k
təkmilləşdirildi	-13.133827209472656	8	t ÉĻ km ill ÉĻ ÅŁ dir ild i
xidmətçiləri	-13.13254165649414	8	x id m ÉĻ t Ã§ il ÉĻ ri
münasibətlərimiz	-13.117095947265625	8	m Ã¼n as ib ÉĻ tl ÉĻ rim iz
kəpənəklər	-13.115595817565918	8	k ÉĻ p ÉĻ n ÉĻ kl ÉĻ r
verməyəcəyini	-13.110992431640625	8	ver m ÉĻ y ÉĻ c ÉĻ y ini
sadələşdirilməsi	-13.110167503356934	8	sad ÉĻ l ÉĻ ÅŁ dir ilm ÉĻ si
dövlətçiliyin	-13.107263565063477	8	d Ã¶ vl ÉĻ t Ã§ ili y in
ənənələrə	-13.102009773254395	8	ÉĻ n ÉĻ n ÉĻ l ÉĻ r ÉĻ
peyğəmbərlərin	-13.093902587890625	8	pe y ÄŁ ÉĻ mb ÉĻ rl ÉĻ rin
göndərilməsinə	-13.083255767822266	8	g Ã¶ nd ÉĻ r ilm ÉĻ sin ÉĻ
yerləşdirərək	-13.082082748413086	8	yer l ÉĻ ÅŁ dir ÉĻ r ÉĻ k
dövriyyədən	-13.07968807220459	8	d Ã¶ v ri yy ÉĻ d ÉĻ n
dəyişkənliyi	-13.07654094696045	8	d ÉĻ yi ÅŁ k ÉĻ n li yi
qəzəbləndirdi	-13.064754486083984	8	q ÉĻ z ÉĻ bl ÉĻ nd ird i
fələstinlilər	-13.062273025512695	8	f ÉĻ l ÉĻ stin l il ÉĻ r
qəzəblənən	-13.05985164642334	8	q ÉĻ z ÉĻ bl ÉĻ n ÉĻ n
Əlaqələndirmə	-13.059683799743652	8	Æı la q ÉĻ l ÉĻ nd irm ÉĻ
işəgötürənlərin	-13.054272651672363	8	iÅŁ ÉĻ g Ã¶t Ã¼r ÉĻ nl ÉĻ rin
hüceyrələrinə	-13.035442352294922	8	h Ã¼ ce yr ÉĻ l ÉĻ rin ÉĻ
nümayəndəlikləri	-13.021537780761719	8	nÃ¼ may ÉĻ nd ÉĻ lik l ÉĻ ri
çəkilməsindən	-13.019858360290527	8	Ã§ ÉĻ k ilm ÉĻ s ind ÉĻ n
dövriyyəsində	-13.016633033752441	8	d Ã¶ v ri yy ÉĻ s ind ÉĻ
dəyərləndirir	-13.012269020080566	8	d ÉĻ y ÉĻ rl ÉĻ nd ir ir
təcrübəsindən	-13.00728988647461	8	t ÉĻ cr Ã¼b ÉĻ s ind ÉĻ n
Sərnişinlər	-12.999794006347656	8	S ÉĻ r ni ÅŁ in l ÉĻ r
işgəncələrə	-12.991690635681152	8	iÅŁ g ÉĻ nc ÉĻ l ÉĻ r ÉĻ
xəstəliklərlə	-12.990357398986816	8	x ÉĻ st ÉĻ lik l ÉĻ rl ÉĻ
bilmədiklərini	-12.989835739135742	8	b ilm ÉĻ d ik l ÉĻ r ini
şöbələrində	-12.981342315673828	8	ÅŁ Ã¶ b ÉĻ l ÉĻ r ind ÉĻ
ləşdirildikdən	-12.976640701293945	8	l ÉĻ ÅŁ dir ild ik d ÉĻ n
yerləşdirməyə	-12.973394393920898	8	yer l ÉĻ ÅŁ d irm ÉĻ y ÉĻ
gölməçələr	-12.969767570495605	8	g Ã¶ lm ÉĻ Ã§ ÉĻ l ÉĻ r
Ziyarətçilər	-12.96957778930664	8	Z iy ar ÉĻ t Ã§ il ÉĻ r
